PHI,PSI
-55.97126654,159.7436548
22.27259317,-70.42639067
-178.8982861,115.1072004
-28.19782478,-59.15535759
-67.74991514,-33.23097119
-65.97152134,-53.73551512
-53.55951721,-48.02459569
-59.89320295,-45.00200539
-56.53859868,-36.5896382
-68.4524882,-45.65436117
-54.59226538,-49.07173282
-71.89373672,-45.247214
-63.43844626,-33.91327982
-70.52257137,-41.29334332
-59.05196906,-52.34535476
-55.19073063,-53.23944872
-49.7111017,-55.27765124
-47.66406437,-60.32752329
-42.18966353,-50.96312304
-70.26466248,-27.5146579
-74.59487128,-22.20327554
-96.83237501,-30.33975776
-61.33547186,164.7568168
45.41845688,25.94307838
-80.56795365,140.8268228
-59.44706768,166.7523868
-78.85047639,-50.72508476
-39.39448519,-24.37779398
-101.1076542,7.606061263
-55.76492691,-59.6977362
-70.71379531,-41.09359936
-56.31898489,-31.98196017
-73.39331202,-43.71336508
-52.88625847,-41.29576124
-64.43468799,-53.27396885
-44.70950611,-57.63260854
-62.58759852,-36.87334086
-61.17916615,-45.87908216
-54.47364445,-48.29421367
-61.91773318,-51.17413493
-55.6779879,-13.80489554
-44.48342975,-20.73055794
-59.77087562,-3.935798269
-50.00665944,-34.77536265
-45.80478622,-47.82782553
-58.31245399,-35.85748144
-73.20949777,-40.21640381
-63.81817409,-37.86457147
-57.19705207,-48.13638558
-69.9308405,-40.98395034
-51.33068015,-56.18259314
-61.82298422,-43.38032433
-64.77127273,-6.714581653
-130.5542909,12.77504568
-74.04034485,147.7291859
-130.9031264,-160.048423
51.05997649,-17.21623652
90.4763771,-43.93595538
-62.40612532,-41.26807621
-57.14233975,-49.81157266
-60.71982349,-41.4809687
-60.18625458,-56.90611975
-70.50682967,-43.71609715
-46.06922638,-37.3287546
-71.76486799,-51.50017313
-48.75163566,-56.07853799
-41.65930556,-51.77915448
-61.76722666,-41.50084684
-60.43124735,-54.84076277
-53.351054,-52.68730759
-49.96258481,-49.16605623
-73.22932924,-24.02840306
-70.17086776,-47.81114156
-47.30669414,-57.25766357
-56.96443469,-61.06015515
-62.22516985,-47.60693113
-56.40038699,-51.92472371
-51.86618756,-49.34427052
-56.01198686,-52.67939316
-51.38771108,-44.53038222
-72.2159729,-46.17023055
-61.07296555,-40.76389446
-63.6893093,-46.78773761
-60.59856456,-41.45849385
-65.80985696,-39.14644154
-71.04973093,-13.85719315
-84.174743,-18.59459283
-61.60981491,-15.0806495
-84.29455328,-15.76777538
-88.85789285,144.5775948
-71.02543532,160.9618141
-74.88063127,-40.00940479
-67.77707037,126.9886136
179.6096441,95.74932678
-80.26250069,145.6218541
79.06369006,178.5665461
83.01494577,-0.247128957
64.7096623,-141.5162275
